1,-12.038518243162656,-77.04042546330386,981.476,1,2022-06-19 09:00:00
6,-12.035821455606282,-77.03215967952312,25.699,9,2022-06-19 17:00:00
1,-12.038510294425619,-77.01011444866738,918.03,13,2022-06-19 21:00:00
4,-12.038518243162656,-77.04042546330386,29.521,1,2022-06-19 09:00:00
4,-12.038509409618529,-77.00735890197839,33.252,10,2022-06-19 18:00:00
6,-12.038518243162656,-77.04042546330386,43.051,1,2022-06-19 09:00:00
1,-12.035821455606282,-77.03215967952312,1001.739,10,2022-06-19 18:00:00
4,-12.038510294425619,-77.01011444866738,32.307,13,2022-06-19 21:00:00
1,-12.038518243162656,-77.04042546330386,1052.77,2,2022-06-19 10:00:00
4,-12.035821455606282,-77.03215967952312,33.252,10,2022-06-19 18:00:00
6,-12.038510294425619,-77.01011444866738,50.876,13,2022-06-19 21:00:00
4,-12.038518243162656,-77.04042546330386,25.037,2,2022-06-19 10:00:00
6,-12.038509409618529,-77.00735890197839,37.025,10,2022-06-19 18:00:00
1,-12.038510294425619,-77.01011444866738,939.248,14,2022-06-19 22:00:00
6,-12.038518243162656,-77.04042546330386,40.526,2,2022-06-19 10:00:00
6,-12.035821455606282,-77.03215967952312,37.025,10,2022-06-19 18:00:00
4,-12.038510294425619,-77.01011444866738,32.437,14,2022-06-19 22:00:00
1,-12.038511982942492,-77.01562554209843,854.338,7,2022-06-19 15:00:00
1,-12.038518243162656,-77.04042546330386,886.169,3,2022-06-19 11:00:00
1,-12.035821455606282,-77.03215967952312,1010.205,11,2022-06-19 19:00:00
6,-12.038510294425619,-77.01011444866738,39.413,14,2022-06-19 22:00:00
4,-12.038518243162656,-77.04042546330386,19.591,3,2022-06-19 11:00:00
4,-12.038511982942492,-77.01562554209843,25.072,7,2022-06-19 15:00:00
1,-12.038510294425619,-77.01011444866738,767.192,15,2022-06-19 23:00:00
1,-12.038509409618529,-77.00735890197839,1010.205,11,2022-06-19 19:00:00
6,-12.038518243162656,-77.04042546330386,20.088,3,2022-06-19 11:00:00
6,-12.038511982942492,-77.01562554209843,14.42,7,2022-06-19 15:00:00
4,-12.038510294425619,-77.01011444866738,31.925,15,2022-06-19 23:00:00
4,-12.035821455606282,-77.03215967952312,32.89,11,2022-06-19 19:00:00
6,-12.038510294425619,-77.01011444866738,20.762,15,2022-06-19 23:00:00
1,-12.038518243162656,-77.04042546330386,996.834,4,2022-06-19 12:00:00
1,-12.038511982942492,-77.01562554209843,898.341,8,2022-06-19 16:00:00
6,-12.035821455606282,-77.03215967952312,42.242,11,2022-06-19 19:00:00
4,-12.038518243162656,-77.04042546330386,16.569,4,2022-06-19 12:00:00
4,-12.038511982942492,-77.01562554209843,28.226,8,2022-06-19 16:00:00
1,-12.038510294425619,-77.01011444866738,642.017,16,2022-06-20 00:00:00
4,-12.038510294425619,-77.01011444866738,31.587,16,2022-06-20 00:00:00
6,-12.038511982942492,-77.01562554209843,18.977,8,2022-06-19 16:00:00
6,-12.038518243162656,-77.04042546330386,19.895,4,2022-06-19 12:00:00
4,-12.038509409618529,-77.00735890197839,32.89,11,2022-06-19 19:00:00
6,-12.038510294425619,-77.01011444866738,23.143,16,2022-06-20 00:00:00
1,-12.035821455606282,-77.03215967952312,913.438,12,2022-06-19 20:00:00
1,-12.038511982942492,-77.01562554209843,978.724,9,2022-06-19 17:00:00
1,-12.038518243162656,-77.04042546330386,884.843,5,2022-06-19 13:00:00
6,-12.038509409618529,-77.00735890197839,42.242,11,2022-06-19 19:00:00
1,-12.038510294425619,-77.01011444866738,565.299,17,2022-06-20 01:00:00
4,-12.038518243162656,-77.04042546330386,19.997,5,2022-06-19 13:00:00
4,-12.038511982942492,-77.01562554209843,32.146,9,2022-06-19 17:00:00
4,-12.035821455606282,-77.03215967952312,32.528,12,2022-06-19 20:00:00
4,-12.038510294425619,-77.01011444866738,31.28,17,2022-06-20 01:00:00
6,-12.038511982942492,-77.01562554209843,25.699,9,2022-06-19 17:00:00
6,-12.038518243162656,-77.04042546330386,11.85,5,2022-06-19 13:00:00
1,-12.038509409618529,-77.00735890197839,913.438,12,2022-06-19 20:00:00
6,-12.038510294425619,-77.01011444866738,17.78,17,2022-06-20 01:00:00
4,-12.038509409618529,-77.00735890197839,32.528,12,2022-06-19 20:00:00
1,-12.038518243162656,-77.04042546330386,848.721,6,2022-06-19 14:00:00
1,-12.038511982942492,-77.01562554209843,1001.739,10,2022-06-19 18:00:00
1,-12.038510294425619,-77.01011444866738,572.837,18,2022-06-20 02:00:00
4,-12.038518243162656,-77.04042546330386,22.646,6,2022-06-19 14:00:00
6,-12.035821455606282,-77.03215967952312,49.499,12,2022-06-19 20:00:00
4,-12.038511982942492,-77.01562554209843,33.252,10,2022-06-19 18:00:00
4,-12.038510294425619,-77.01011444866738,31.65,18,2022-06-20 02:00:00
6,-12.038509409618529,-77.00735890197839,49.499,12,2022-06-19 20:00:00
6,-12.038518243162656,-77.04042546330386,10.107,6,2022-06-19 14:00:00
6,-12.038510294425619,-77.01011444866738,17.24,18,2022-06-20 02:00:00
1,-12.035821455606282,-77.03215967952312,918.03,13,2022-06-19 21:00:00
6,-12.038511982942492,-77.01562554209843,37.025,10,2022-06-19 18:00:00
1,-12.0331283540848,-77.0404270107899,981.476,1,2022-06-19 09:00:00
1,-12.038510294425619,-77.01011444866738,680.726,19,2022-06-20 03:00:00
1,-12.038518243162656,-77.04042546330386,854.338,7,2022-06-19 15:00:00
1,-12.038511982942492,-77.01562554209843,1010.205,11,2022-06-19 19:00:00
