,hour,station,lat,lon,k,CO_interpolate,CO_REAL,CODiff,NO2_interpolate,NO2_REAL,NO2Diff,PM25_interpolate,PM25_REAL,PM25Diff
0,1,7,-12.045286,-77.030902,2,1968.23,169.519,3235361.262,56.082,31.954,582.160384,20.02,65.46,2064.7936
1,1,7,-12.045286,-77.030902,3,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
2,1,7,-12.045286,-77.030902,4,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
3,1,7,-12.045286,-77.030902,5,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
4,1,7,-12.045286,-77.030902,6,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
5,1,7,-12.045286,-77.030902,7,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
0,2,7,-12.045286,-77.030902,2,1901.722,259.332,2697444.912,55.585,32.018,555.403489,19.256,104.977,7348.089841
1,2,7,-12.045286,-77.030902,3,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
2,2,7,-12.045286,-77.030902,4,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
3,2,7,-12.045286,-77.030902,5,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
4,2,7,-12.045286,-77.030902,6,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
5,2,7,-12.045286,-77.030902,7,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
0,3,7,-12.045286,-77.030902,2,1848.238,375.019,2170374.222,55.036,31.707,544.242241,23.551,105.144,6657.417649
1,3,7,-12.045286,-77.030902,3,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
2,3,7,-12.045286,-77.030902,4,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
3,3,7,-12.045286,-77.030902,5,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
4,3,7,-12.045286,-77.030902,6,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
5,3,7,-12.045286,-77.030902,7,289.149,375.019,7373.6569,43.04,31.707,128.436889,41.919,105.144,3997.400625
0,4,7,-12.045286,-77.030902,2,194.22,405.461,44622.76008,54.783,31.497,542.237796,24.446,87.431,3967.110225
1,4,7,-12.045286,-77.030902,3,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
2,4,7,-12.045286,-77.030902,4,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
3,4,7,-12.045286,-77.030902,5,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
4,4,7,-12.045286,-77.030902,6,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
5,4,7,-12.045286,-77.030902,7,194.22,405.461,44622.76008,42.305,31.497,116.812864,47.542,87.431,1591.132321
0,5,7,-12.045286,-77.030902,2,178.517,534.6,126795.1029,54.297,31.394,524.547409,22.008,50.548,814.5316
1,5,7,-12.045286,-77.030902,3,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
2,5,7,-12.045286,-77.030902,4,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
3,5,7,-12.045286,-77.030902,5,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
4,5,7,-12.045286,-77.030902,6,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
5,5,7,-12.045286,-77.030902,7,178.517,534.6,126795.1029,42.115,31.394,114.939841,35.255,50.548,233.875849
0,6,7,-12.045286,-77.030902,2,149.66,646.793,247141.2197,54.237,31.749,505.710144,23.182,65.265,1770.978889
1,6,7,-12.045286,-77.030902,3,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
2,6,7,-12.045286,-77.030902,4,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
3,6,7,-12.045286,-77.030902,5,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
4,6,7,-12.045286,-77.030902,6,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
5,6,7,-12.045286,-77.030902,7,149.66,646.793,247141.2197,42.027,31.749,105.637284,35.676,65.265,875.508921
0,7,7,-12.045286,-77.030902,2,180.499,640.733,211815.3348,54.534,31.791,517.244049,25.979,68.415,1800.814096
1,7,7,-12.045286,-77.030902,3,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
2,7,7,-12.045286,-77.030902,4,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
3,7,7,-12.045286,-77.030902,5,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
4,7,7,-12.045286,-77.030902,6,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
5,7,7,-12.045286,-77.030902,7,180.499,640.733,211815.3348,42.3,31.791,110.439081,36.61,68.415,1011.558025
0,8,7,-12.045286,-77.030902,2,227.597,793.819,320607.3533,54.905,31.656,540.516001,24.759,59.145,1182.396996
1,8,7,-12.045286,-77.030902,3,227.597,793.819,320607.3533,42.554,31.656,118.766404,25.644,59.145,1122.317001
2,8,7,-12.045286,-77.030902,4,227.597,793.819,320607.3533,42.554,31.656,118.766404,25.644,59.145,1122.317001
3,8,7,-12.045286,-77.030902,5,227.597,793.819,320607.3533,42.554,31.656,118.766404,25.644,59.145,1122.317001
4,8,7,-12.045286,-77.030902,6,227.597,793.819,320607.3533,42.554,31.656,118.766404,25.644,59.145,1122.317001
5,8,7,-12.045286,-77.030902,7,227.597,793.819,320607.3533,43.412,31.656,138.203536,41.745,59.145,302.76
0,9,7,-12.045286,-77.030902,2,1764.458,726.947,1076429.075,55.567,31.565,576.096004,24.837,55.609,946.915984
1,9,7,-12.045286,-77.030902,3,328.443,726.947,158805.438,42.609,31.565,121.969936,26.584,55.609,842.450625
2,9,7,-12.045286,-77.030902,4,328.443,726.947,158805.438,42.609,31.565,121.969936,26.584,55.609,842.450625
3,9,7,-12.045286,-77.030902,5,328.443,726.947,158805.438,42.609,31.565,121.969936,26.584,55.609,842.450625
4,9,7,-12.045286,-77.030902,6,328.443,726.947,158805.438,42.609,31.565,121.969936,26.584,55.609,842.450625
5,9,7,-12.045286,-77.030902,7,328.443,726.947,158805.438,43.749,31.565,148.449856,41.652,55.609,194.797849
0,10,7,-12.045286,-77.030902,2,1825.73,749.325,1158647.724,56.727,32.129,605.061604,22.659,132.872,12146.90537
1,10,7,-12.045286,-77.030902,3,558.813,749.325,36294.82214,42.679,32.129,111.3025,25.723,132.872,11480.9082
2,10,7,-12.045286,-77.030902,4,558.813,749.325,36294.82214,42.679,32.129,111.3025,25.723,132.872,11480.9082
3,10,7,-12.045286,-77.030902,5,558.813,749.325,36294.82214,42.679,32.129,111.3025,25.723,132.872,11480.9082
4,10,7,-12.045286,-77.030902,6,558.813,749.325,36294.82214,42.679,32.129,111.3025,25.723,132.872,11480.9082
5,10,7,-12.045286,-77.030902,7,264.945,749.325,234623.9844,44.649,32.129,156.7504,40.805,132.872,8476.332489
0,11,7,-12.045286,-77.030902,2,1873.786,1303.778,324909.1201,57.545,31.454,680.740281,21.262,93.353,5197.112281
1,11,7,-12.045286,-77.030902,3,939.516,1303.778,132686.8046,42.615,31.454,124.567921,23.753,93.353,4844.16
2,11,7,-12.045286,-77.030902,4,939.516,1303.778,132686.8046,42.615,31.454,124.567921,23.753,93.353,4844.16
3,11,7,-12.045286,-77.030902,5,939.516,1303.778,132686.8046,42.615,31.454,124.567921,23.753,93.353,4844.16
4,11,7,-12.045286,-77.030902,6,939.516,1303.778,132686.8046,42.615,31.454,124.567921,23.753,93.353,4844.16
5,11,7,-12.045286,-77.030902,7,425.403,1303.778,771542.6406,44.762,31.454,177.102864,40.824,93.353,2759.295841
0,12,7,-12.045286,-77.030902,2,1944.252,956.207,976232.922,55.753,26.608,849.431025,23.906,90.122,4384.558656
1,12,7,-12.045286,-77.030902,3,1195.585,956.207,57301.82688,42.401,26.608,249.418849,24.701,90.122,4279.907241
2,12,7,-12.045286,-77.030902,4,1195.585,956.207,57301.82688,42.401,26.608,249.418849,24.701,90.122,4279.907241
3,12,7,-12.045286,-77.030902,5,1195.585,956.207,57301.82688,42.401,26.608,249.418849,24.701,90.122,4279.907241
4,12,7,-12.045286,-77.030902,6,1195.585,956.207,57301.82688,42.401,26.608,249.418849,24.701,90.122,4279.907241
5,12,7,-12.045286,-77.030902,7,722.788,956.207,54484.42956,44.411,26.608,316.946809,45.71,90.122,1972.425744
0,13,7,-12.045286,-77.030902,2,2032.088,833.672,1436200.909,51.118,23.078,786.2416,26.222,80.479,2943.822049
1,13,7,-12.045286,-77.030902,3,1195.537,833.672,130946.2782,40.772,23.078,313.077636,27.381,80.479,2819.397604
2,13,7,-12.045286,-77.030902,4,1195.537,833.672,130946.2782,40.772,23.078,313.077636,27.381,80.479,2819.397604
3,13,7,-12.045286,-77.030902,5,1195.537,833.672,130946.2782,40.772,23.078,313.077636,27.381,80.479,2819.397604
4,13,7,-12.045286,-77.030902,6,1195.537,833.672,130946.2782,40.772,23.078,313.077636,27.381,80.479,2819.397604
5,13,7,-12.045286,-77.030902,7,1135.108,833.672,90863.6621,42.43,23.078,374.499904,51.133,80.479,861.187716
0,14,7,-12.045286,-77.030902,2,2190.934,935.663,1575705.283,37.521,17.234,411.562369,26.254,72.401,2129.545609
1,14,7,-12.045286,-77.030902,3,1555.341,935.663,384000.8237,30.452,17.234,174.715524,28.776,72.401,1903.140625
2,14,7,-12.045286,-77.030902,4,1555.341,935.663,384000.8237,30.452,17.234,174.715524,28.776,72.401,1903.140625
3,14,7,-12.045286,-77.030902,5,1555.341,935.663,384000.8237,30.452,17.234,174.715524,28.776,72.401,1903.140625
4,14,7,-12.045286,-77.030902,6,1555.341,935.663,384000.8237,30.452,17.234,174.715524,28.776,72.401,1903.140625
5,14,7,-12.045286,-77.030902,7,1488.543,935.663,305676.2944,32.196,17.234,223.861444,65.356,72.401,49.632025
0,15,7,-12.045286,-77.030902,2,2127.04,2611.413,234617.2031,31.063,14.752,266.048721,28.175,65.971,1428.537616
1,15,7,-12.045286,-77.030902,3,1834.024,2611.413,604333.6573,25.296,14.752,111.175936,31.786,65.971,1168.614225
2,15,7,-12.045286,-77.030902,4,1834.024,2611.413,604333.6573,25.296,14.752,111.175936,31.786,65.971,1168.614225
3,15,7,-12.045286,-77.030902,5,1834.024,2611.413,604333.6573,25.296,14.752,111.175936,31.786,65.971,1168.614225
4,15,7,-12.045286,-77.030902,6,1834.024,2611.413,604333.6573,25.296,14.752,111.175936,31.786,65.971,1168.614225
5,15,7,-12.045286,-77.030902,7,1656.484,2611.413,911889.395,32.126,14.752,301.855876,66.755,65.971,0.614656
0,16,7,-12.045286,-77.030902,2,2386.39,1886.141,250249.062,31.73,13.509,332.004841,24.072,49.885,666.310969
1,16,7,-12.045286,-77.030902,3,1637.967,1886.141,61590.33428,24.402,13.509,118.657449,26.562,49.885,543.962329
2,16,7,-12.045286,-77.030902,4,1637.967,1886.141,61590.33428,24.402,13.509,118.657449,26.562,49.885,543.962329
3,16,7,-12.045286,-77.030902,5,1637.967,1886.141,61590.33428,24.402,13.509,118.657449,26.562,49.885,543.962329
4,16,7,-12.045286,-77.030902,6,1637.967,1886.141,61590.33428,24.402,13.509,118.657449,26.562,49.885,543.962329
5,16,7,-12.045286,-77.030902,7,1370.801,1886.141,265575.3156,36.471,13.509,527.253444,51.719,49.885,3.363556
0,17,7,-12.045286,-77.030902,2,2517.15,576.626,3765633.395,30.148,13.385,280.998169,24.906,51.876,727.3809
1,17,7,-12.045286,-77.030902,3,1151.425,576.626,330393.8904,27.826,13.385,208.542481,25.411,51.876,700.396225
2,17,7,-12.045286,-77.030902,4,1151.425,576.626,330393.8904,27.826,13.385,208.542481,25.411,51.876,700.396225
3,17,7,-12.045286,-77.030902,5,1151.425,576.626,330393.8904,27.826,13.385,208.542481,25.411,51.876,700.396225
4,17,7,-12.045286,-77.030902,6,1151.425,576.626,330393.8904,27.826,13.385,208.542481,25.411,51.876,700.396225
5,17,7,-12.045286,-77.030902,7,1155.203,576.626,334751.3449,37.46,13.385,579.605625,44.975,51.876,47.623801
0,18,7,-12.045286,-77.030902,2,2576.9,306.545,5154511.826,28.88,10.02,355.6996,31.55,40.011,71.588521
1,18,7,-12.045286,-77.030902,3,1193.769,306.545,787166.4262,24.091,10.02,197.993041,29.684,40.011,106.646929
2,18,7,-12.045286,-77.030902,4,1193.769,306.545,787166.4262,24.091,10.02,197.993041,29.684,40.011,106.646929
3,18,7,-12.045286,-77.030902,5,1193.769,306.545,787166.4262,24.091,10.02,197.993041,29.684,40.011,106.646929
4,18,7,-12.045286,-77.030902,6,1193.769,306.545,787166.4262,24.091,10.02,197.993041,29.684,40.011,106.646929
5,18,7,-12.045286,-77.030902,7,1136.13,306.545,688211.2722,38.781,10.02,827.195121,54.898,40.011,221.622769
0,19,7,-12.045286,-77.030902,2,2678.108,240.105,5943858.628,33.28,10.932,499.433104,39.625,30.254,87.815641
1,19,7,-12.045286,-77.030902,3,1340.691,240.105,1211289.543,32.067,10.932,446.688225,38.25,30.254,63.936016
2,19,7,-12.045286,-77.030902,4,1340.691,240.105,1211289.543,32.067,10.932,446.688225,38.25,30.254,63.936016
3,19,7,-12.045286,-77.030902,5,1340.691,240.105,1211289.543,32.067,10.932,446.688225,38.25,30.254,63.936016
4,19,7,-12.045286,-77.030902,6,1340.691,240.105,1211289.543,32.067,10.932,446.688225,38.25,30.254,63.936016
5,19,7,-12.045286,-77.030902,7,1168.344,240.105,861627.6411,40.862,10.932,895.8049,68.344,30.254,1450.8481
0,20,7,-12.045286,-77.030902,2,2647.676,383.96,5124410.129,43.317,17.779,652.189444,42.314,33.319,80.910025
1,20,7,-12.045286,-77.030902,3,1246.15,383.96,743371.5961,40.257,17.779,505.260484,36.569,33.319,10.5625
2,20,7,-12.045286,-77.030902,4,1246.15,383.96,743371.5961,40.257,17.779,505.260484,36.569,33.319,10.5625
3,20,7,-12.045286,-77.030902,5,1246.15,383.96,743371.5961,40.257,17.779,505.260484,36.569,33.319,10.5625
4,20,7,-12.045286,-77.030902,6,1246.15,383.96,743371.5961,40.257,17.779,505.260484,36.569,33.319,10.5625
5,20,7,-12.045286,-77.030902,7,1404.958,383.96,1042436.916,43.47,17.779,660.027481,64.639,33.319,980.9424
0,21,7,-12.045286,-77.030902,2,2499.649,651.261,3416538.199,55.548,29.456,680.792464,44.163,58.503,205.6356
1,21,7,-12.045286,-77.030902,3,1268.079,651.261,380464.4451,38.938,29.456,89.908324,40.213,58.503,334.5241
2,21,7,-12.045286,-77.030902,4,1268.079,651.261,380464.4451,38.938,29.456,89.908324,40.213,58.503,334.5241
3,21,7,-12.045286,-77.030902,5,1268.079,651.261,380464.4451,38.938,29.456,89.908324,40.213,58.503,334.5241
4,21,7,-12.045286,-77.030902,6,1268.079,651.261,380464.4451,38.938,29.456,89.908324,40.213,58.503,334.5241
5,21,7,-12.045286,-77.030902,7,1322.34,651.261,450347.0242,46.145,29.456,278.522721,64.95,58.503,41.563809
0,22,7,-12.045286,-77.030902,2,2409.367,713.615,2875574.846,61.42,31.881,872.552521,59.404,77.564,329.7856
1,22,7,-12.045286,-77.030902,3,1063.738,713.615,122586.1151,38.904,31.881,49.322529,53.83,77.564,563.302756
2,22,7,-12.045286,-77.030902,4,1063.738,713.615,122586.1151,38.904,31.881,49.322529,53.83,77.564,563.302756
3,22,7,-12.045286,-77.030902,5,1063.738,713.615,122586.1151,38.904,31.881,49.322529,53.83,77.564,563.302756
4,22,7,-12.045286,-77.030902,6,1063.738,713.615,122586.1151,38.904,31.881,49.322529,53.83,77.564,563.302756
5,22,7,-12.045286,-77.030902,7,1605.636,713.615,795701.4644,47.368,31.881,239.847169,82.143,77.564,20.967241
0,23,7,-12.045286,-77.030902,2,2328.347,587.034,3032170.964,61.326,31.814,870.958144,73.486,74.127,0.410881
1,23,7,-12.045286,-77.030902,3,1350.173,587.034,582381.1333,40.864,31.814,81.9025,66.459,74.127,58.798224
2,23,7,-12.045286,-77.030902,4,1350.173,587.034,582381.1333,40.864,31.814,81.9025,66.459,74.127,58.798224
3,23,7,-12.045286,-77.030902,5,1350.173,587.034,582381.1333,40.864,31.814,81.9025,66.459,74.127,58.798224
4,23,7,-12.045286,-77.030902,6,1350.173,587.034,582381.1333,40.864,31.814,81.9025,66.459,74.127,58.798224
5,23,7,-12.045286,-77.030902,7,1563.915,587.034,954296.4882,47.379,31.814,242.269225,102.168,74.127,786.297681
0,24,7,-12.045286,-77.030902,2,2181.368,373.688,3267706.982,60.08,31.658,807.810084,82.889,71.128,138.321121
1,24,7,-12.045286,-77.030902,3,892.538,373.688,269205.3225,42.019,31.658,107.350321,72.923,71.128,3.222025
2,24,7,-12.045286,-77.030902,4,892.538,373.688,269205.3225,42.019,31.658,107.350321,72.923,71.128,3.222025
3,24,7,-12.045286,-77.030902,5,892.538,373.688,269205.3225,42.019,31.658,107.350321,72.923,71.128,3.222025
4,24,7,-12.045286,-77.030902,6,892.538,373.688,269205.3225,42.019,31.658,107.350321,72.923,71.128,3.222025
5,24,7,-12.045286,-77.030902,7,1295.858,373.688,850397.5089,46.856,31.658,230.979204,106.204,71.128,1230.325776
0,25,7,-12.045286,-77.030902,2,2113.48,256.229,3449381.277,58.298,31.704,707.240836,73.228,58.262,223.981156
1,25,7,-12.045286,-77.030902,3,700.341,256.229,197235.4685,42.429,31.704,115.025625,70.36,58.262,146.361604
2,25,7,-12.045286,-77.030902,4,700.341,256.229,197235.4685,42.429,31.704,115.025625,70.36,58.262,146.361604
3,25,7,-12.045286,-77.030902,5,700.341,256.229,197235.4685,42.429,31.704,115.025625,70.36,58.262,146.361604
4,25,7,-12.045286,-77.030902,6,700.341,256.229,197235.4685,42.429,31.704,115.025625,70.36,58.262,146.361604
5,25,7,-12.045286,-77.030902,7,1212.172,256.229,913827.0192,46.018,31.704,204.890596,96.76,58.262,1482.096004
0,26,7,-12.045286,-77.030902,2,1973.081,207.856,3116019.301,56.873,31.711,633.126244,70.274,58,150.651076
1,26,7,-12.045286,-77.030902,3,516.819,207.856,95458.13537,42.609,31.711,118.766404,66.299,58,68.873401
2,26,7,-12.045286,-77.030902,4,516.819,207.856,95458.13537,42.609,31.711,118.766404,66.299,58,68.873401
3,26,7,-12.045286,-77.030902,5,516.819,207.856,95458.13537,42.609,31.711,118.766404,66.299,58,68.873401
4,26,7,-12.045286,-77.030902,6,516.819,207.856,95458.13537,42.609,31.711,118.766404,66.299,58,68.873401
5,26,7,-12.045286,-77.030902,7,736.268,207.856,279219.2417,45.029,31.711,177.369124,96.394,58,1474.099236
0,27,7,-12.045286,-77.030902,2,1940.338,214.082,2979959.778,55.812,31.583,587.044441,68.9,68.466,0.188356
1,27,7,-12.045286,-77.030902,3,383.088,214.082,28563.02804,42.609,31.583,121.572676,67.88,68.466,0.343396
2,27,7,-12.045286,-77.030902,4,383.088,214.082,28563.02804,42.609,31.583,121.572676,67.88,68.466,0.343396
3,27,7,-12.045286,-77.030902,5,383.088,214.082,28563.02804,42.609,31.583,121.572676,67.88,68.466,0.343396
4,27,7,-12.045286,-77.030902,6,383.088,214.082,28563.02804,42.609,31.583,121.572676,67.88,68.466,0.343396
5,27,7,-12.045286,-77.030902,7,315.612,214.082,10308.3409,44.452,31.583,165.611161,99.673,68.466,973.876849
0,28,7,-12.045286,-77.030902,2,1926.132,184.078,3034752.139,55.722,31.562,583.7056,95.309,71.117,585.252864
1,28,7,-12.045286,-77.030902,3,342.271,184.078,25025.02525,42.572,31.562,121.2201,92.251,71.117,446.645956
2,28,7,-12.045286,-77.030902,4,342.271,184.078,25025.02525,42.572,31.562,121.2201,92.251,71.117,446.645956
3,28,7,-12.045286,-77.030902,5,342.271,184.078,25025.02525,42.572,31.562,121.2201,92.251,71.117,446.645956
4,28,7,-12.045286,-77.030902,6,342.271,184.078,25025.02525,42.572,31.562,121.2201,92.251,71.117,446.645956
5,28,7,-12.045286,-77.030902,7,245.154,184.078,3730.277776,44.389,31.562,164.531929,133.528,71.117,3895.132921
0,29,7,-12.045286,-77.030902,2,1913.665,164.884,3058234.986,55.925,31.676,588.014001,130.146,62.472,4579.770276
1,29,7,-12.045286,-77.030902,3,362.242,164.884,38950.18016,42.557,31.676,118.396161,116.875,62.472,2959.686409
2,29,7,-12.045286,-77.030902,4,362.242,164.884,38950.18016,42.557,31.676,118.396161,116.875,62.472,2959.686409
3,29,7,-12.045286,-77.030902,5,362.242,164.884,38950.18016,42.557,31.676,118.396161,116.875,62.472,2959.686409
4,29,7,-12.045286,-77.030902,6,362.242,164.884,38950.18016,42.557,31.676,118.396161,116.875,62.472,2959.686409
5,29,7,-12.045286,-77.030902,7,250.825,164.884,7385.855481,44.427,31.676,162.588001,196.141,62.472,17867.40156
0,30,7,-12.045286,-77.030902,2,1882.793,181.836,2893254.716,55.82,31.83,575.5201,119.304,60.065,3509.259121
1,30,7,-12.045286,-77.030902,3,333.555,181.836,23018.65496,42.557,31.83,115.068529,106.3,60.065,2137.675225
2,30,7,-12.045286,-77.030902,4,333.555,181.836,23018.65496,42.557,31.83,115.068529,106.3,60.065,2137.675225
3,30,7,-12.045286,-77.030902,5,333.555,181.836,23018.65496,42.557,31.83,115.068529,106.3,60.065,2137.675225
4,30,7,-12.045286,-77.030902,6,333.555,181.836,23018.65496,42.557,31.83,115.068529,106.3,60.065,2137.675225
5,30,7,-12.045286,-77.030902,7,267.925,181.836,7411.315921,44.585,31.83,162.690025,191.888,60.065,17377.30333
0,31,7,-12.045286,-77.030902,2,1869.688,175.696,2869608.896,55.825,31.904,572.214241,118.964,59.619,3521.829025
1,31,7,-12.045286,-77.030902,3,332.457,175.696,24574.01112,42.641,31.904,115.283169,103.137,59.619,1893.816324
2,31,7,-12.045286,-77.030902,4,332.457,175.696,24574.01112,42.641,31.904,115.283169,103.137,59.619,1893.816324
3,31,7,-12.045286,-77.030902,5,332.457,175.696,24574.01112,42.641,31.904,115.283169,103.137,59.619,1893.816324
4,31,7,-12.045286,-77.030902,6,332.457,175.696,24574.01112,42.641,31.904,115.283169,103.137,59.619,1893.816324
5,31,7,-12.045286,-77.030902,7,229.397,175.696,2883.797401,43.993,31.904,146.143921,166.789,59.619,11485.4089
0,32,7,-12.045286,-77.030902,2,1887.242,340.887,2391213.786,55.933,31.967,574.369156,101.791,56.022,2094.801361
1,32,7,-12.045286,-77.030902,3,388.326,340.887,2250.458721,42.678,31.967,114.725521,88.747,56.022,1070.925625
2,32,7,-12.045286,-77.030902,4,388.326,340.887,2250.458721,42.678,31.967,114.725521,88.747,56.022,1070.925625
3,32,7,-12.045286,-77.030902,5,388.326,340.887,2250.458721,42.678,31.967,114.725521,88.747,56.022,1070.925625
4,32,7,-12.045286,-77.030902,6,388.326,340.887,2250.458721,42.678,31.967,114.725521,88.747,56.022,1070.925625
5,32,7,-12.045286,-77.030902,7,321.527,340.887,374.8096,44.108,31.967,147.403881,166.32,56.022,12165.6488
0,33,7,-12.045286,-77.030902,2,1870.812,235.581,2673980.423,56.992,31.92,628.605184,125.828,53.908,5172.4864
1,33,7,-12.045286,-77.030902,3,428.956,235.581,37393.89063,42.672,31.92,115.605504,119.797,53.908,4341.360321
2,33,7,-12.045286,-77.030902,4,428.956,235.581,37393.89063,42.672,31.92,115.605504,119.797,53.908,4341.360321
3,33,7,-12.045286,-77.030902,5,428.956,235.581,37393.89063,42.672,31.92,115.605504,119.797,53.908,4341.360321
4,33,7,-12.045286,-77.030902,6,428.956,235.581,37393.89063,42.672,31.92,115.605504,119.797,53.908,4341.360321
5,33,7,-12.045286,-77.030902,7,628.514,235.581,154396.3425,44.521,31.92,158.785201,201.794,53.908,21870.269
0,34,7,-12.045286,-77.030902,2,2020.225,462.258,2427261.173,56.824,32.255,603.635761,195.691,150.398,2051.455849
1,34,7,-12.045286,-77.030902,3,720.131,462.258,66498.48413,42.599,32.255,106.998336,180.901,150.398,930.433009
2,34,7,-12.045286,-77.030902,4,720.131,462.258,66498.48413,42.599,32.255,106.998336,180.901,150.398,930.433009
3,34,7,-12.045286,-77.030902,5,720.131,462.258,66498.48413,42.599,32.255,106.998336,180.901,150.398,930.433009
4,34,7,-12.045286,-77.030902,6,720.131,462.258,66498.48413,42.599,32.255,106.998336,180.901,150.398,930.433009
5,34,7,-12.045286,-77.030902,7,1339.412,462.258,769399.1397,45.318,32.255,170.641969,371.525,150.398,48897.15013
0,35,7,-12.045286,-77.030902,2,2185.059,936.233,1559566.378,55.15,32.193,527.023849,212.934,154.84,3374.912836
1,35,7,-12.045286,-77.030902,3,1591.989,936.233,430015.9315,42.418,32.193,104.550625,194.076,154.84,1539.463696
2,35,7,-12.045286,-77.030902,4,1591.989,936.233,430015.9315,42.418,32.193,104.550625,194.076,154.84,1539.463696
3,35,7,-12.045286,-77.030902,5,1591.989,936.233,430015.9315,42.418,32.193,104.550625,194.076,154.84,1539.463696
4,35,7,-12.045286,-77.030902,6,1591.989,936.233,430015.9315,42.418,32.193,104.550625,194.076,154.84,1539.463696
5,35,7,-12.045286,-77.030902,7,1240.304,936.233,92459.17304,44.601,32.193,153.958464,333.252,154.84,31830.84174
0,36,7,-12.045286,-77.030902,2,2180.778,438.287,3036274.885,54.158,31.5,513.384964,158.517,59.32,9840.044809
1,36,7,-12.045286,-77.030902,3,1197.279,438.287,576068.8561,42.249,31.5,115.541001,144.363,59.32,7232.311849
2,36,7,-12.045286,-77.030902,4,1197.279,438.287,576068.8561,42.249,31.5,115.541001,144.363,59.32,7232.311849
3,36,7,-12.045286,-77.030902,5,1197.279,438.287,576068.8561,42.249,31.5,115.541001,144.363,59.32,7232.311849
4,36,7,-12.045286,-77.030902,6,1197.279,438.287,576068.8561,42.249,31.5,115.541001,144.363,59.32,7232.311849
5,36,7,-12.045286,-77.030902,7,1120.946,438.287,466023.3103,43.498,31.5,143.952004,247.303,59.32,35337.60829
0,37,7,-12.045286,-77.030902,2,2323.193,752.233,2467915.322,47.983,28.314,386.869561,116.028,76.847,1535.150761
1,37,7,-12.045286,-77.030902,3,1173.168,752.233,177186.2742,39.091,28.314,116.143729,110.922,76.847,1161.105625
2,37,7,-12.045286,-77.030902,4,1173.168,752.233,177186.2742,39.091,28.314,116.143729,110.922,76.847,1161.105625
3,37,7,-12.045286,-77.030902,5,1173.168,752.233,177186.2742,39.091,28.314,116.143729,110.922,76.847,1161.105625
4,37,7,-12.045286,-77.030902,6,1173.168,752.233,177186.2742,39.091,28.314,116.143729,110.922,76.847,1161.105625
5,37,7,-12.045286,-77.030902,7,1568.477,752.233,666254.2675,41.076,28.314,162.868644,187.991,76.847,12352.98874
0,38,7,-12.045286,-77.030902,2,2210.845,1338.084,761711.7631,32,16.023,255.264529,122.876,49.418,5396.077764
1,38,7,-12.045286,-77.030902,3,1632.864,1338.084,86895.2484,27.509,16.023,131.928196,108.831,49.418,3529.904569
2,38,7,-12.045286,-77.030902,4,1632.864,1338.084,86895.2484,27.509,16.023,131.928196,108.831,49.418,3529.904569
3,38,7,-12.045286,-77.030902,5,1632.864,1338.084,86895.2484,27.509,16.023,131.928196,108.831,49.418,3529.904569
4,38,7,-12.045286,-77.030902,6,1632.864,1338.084,86895.2484,27.509,16.023,131.928196,108.831,49.418,3529.904569
5,38,7,-12.045286,-77.030902,7,2300.165,1338.084,925599.8506,32.966,16.023,287.065249,200.511,49.418,22829.09465
