,hour,lat,lon,k,CO_interpolate,CO_REAL,NO2_interpolate,NO2_REAL,PM25_interpolate,PM25_REAL
1,6,-12.050278,-77.026111,3,1003.0757446289062,2400.556,32.91276931762695,30.565,16.618026733398438,15.474
2,6,-12.050278,-77.026111,4,942.419921875,2400.556,33.058570861816406,30.565,15.614558219909668,15.474
3,6,-12.050278,-77.026111,5,814.686767578125,2400.556,32.99285888671875,30.565,14.2769136428833,15.474
4,6,-12.050278,-77.026111,6,813.3460083007812,2400.556,33.80384826660156,30.565,15.314881324768066,15.474
5,6,-12.050278,-77.026111,7,832.2553100585938,2400.556,34.12290573120117,30.565,16.881221771240234,15.474
0,1,-12.041025,-77.043454,2,833.59130859375,546.139,23.466079711914062,21.982,43.31304168701172,25.213
1,1,-12.041025,-77.043454,3,717.2254028320312,546.139,20.638870239257812,21.982,36.26107406616211,25.213
2,1,-12.041025,-77.043454,4,614.1451416015625,546.139,19.516096115112305,21.982,31.4918155670166,25.213
3,1,-12.041025,-77.043454,5,657.2221069335938,546.139,20.071109771728516,21.982,29.243518829345703,25.213
4,1,-12.041025,-77.043454,6,731.9016723632812,546.139,19.85724449157715,21.982,28.7954044342041,25.213
5,1,-12.041025,-77.043454,7,763.150146484375,546.139,17.924640655517578,21.982,27.7635555267334,25.213
0,2,-12.041025,-77.043454,2,629.6199951171875,420.011,27.765087127685547,20.481,27.381433486938477,16.981
1,2,-12.041025,-77.043454,3,572.7686767578125,420.011,24.36957359313965,20.481,23.84814453125,16.981
2,2,-12.041025,-77.043454,4,466.5277099609375,420.011,21.697546005249023,20.481,20.948963165283203,16.981
3,2,-12.041025,-77.043454,5,504.7168273925781,420.011,21.20720672607422,20.481,19.337474822998047,16.981
4,2,-12.041025,-77.043454,6,582.1099243164062,420.011,20.28461456298828,20.481,19.129383087158203,16.981
5,2,-12.041025,-77.043454,7,580.78369140625,420.011,18.60390281677246,20.481,18.732013702392578,16.981
0,3,-12.041025,-77.043454,2,611.0109252929688,324.15,25.544172286987305,18.811,24.528478622436523,12.973
1,3,-12.041025,-77.043454,3,569.0748901367188,324.15,21.211013793945312,18.811,20.743188858032227,12.973
2,3,-12.041025,-77.043454,4,453.17535400390625,324.15,18.584379196166992,18.811,18.265016555786133,12.973
3,3,-12.041025,-77.043454,5,491.36834716796875,324.15,19.735570907592773,18.811,17.02113914489746,12.973
4,3,-12.041025,-77.043454,6,567.574462890625,324.15,18.672075271606445,18.811,16.722930908203125,12.973
5,3,-12.041025,-77.043454,7,618.6148681640625,324.15,17.53469467163086,18.811,16.327484130859375,12.973
0,4,-12.041025,-77.043454,2,645.8096923828125,311.039,28.14955711364746,24.226,18.571475982666016,9.934
1,4,-12.041025,-77.043454,3,587.8248901367188,311.039,25.071203231811523,24.226,15.990455627441406,9.934
2,4,-12.041025,-77.043454,4,478.896240234375,311.039,24.2191104888916,24.226,13.94823932647705,9.934
3,4,-12.041025,-77.043454,5,510.619873046875,311.039,24.659914016723633,24.226,12.915730476379395,9.934
4,4,-12.041025,-77.043454,6,607.2182006835938,311.039,24.384077072143555,24.226,13.33246898651123,9.934
5,4,-12.041025,-77.043454,7,654.7792358398438,311.039,23.153404235839844,24.226,12.968517303466797,9.934
0,5,-12.041025,-77.043454,2,766.1136474609375,511.842,32.98001480102539,28.668,18.638404846191406,10.03
1,5,-12.041025,-77.043454,3,700.0736694335938,511.842,29.633190155029297,28.668,16.184734344482422,10.03
2,5,-12.041025,-77.043454,4,577.3425903320312,511.842,28.895605087280273,28.668,13.810432434082031,10.03
3,5,-12.041025,-77.043454,5,597.5458984375,511.842,29.016891479492188,28.668,12.705080032348633,10.03
4,5,-12.041025,-77.043454,6,674.7114868164062,511.842,28.829896926879883,28.668,12.2702054977417,10.03
5,5,-12.041025,-77.043454,7,701.03076171875,511.842,27.478099822998047,28.668,11.809999465942383,10.03
0,6,-12.041025,-77.043454,2,820.113037109375,711.465,37.54001235961914,33.325,26.52378273010254,15.339
1,6,-12.041025,-77.043454,3,752.0809936523438,711.465,35.267127990722656,33.325,23.840665817260742,15.339
2,6,-12.041025,-77.043454,4,639.9856567382812,711.465,34.632816314697266,33.325,20.111812591552734,15.339
3,6,-12.041025,-77.043454,5,664.0785522460938,711.465,34.40543746948242,33.325,18.61016082763672,15.339
4,6,-12.041025,-77.043454,6,764.2684936523438,711.465,34.36452865600586,33.325,18.543630599975586,15.339
5,6,-12.041025,-77.043454,7,777.7026977539062,711.465,33.18450927734375,33.325,17.768768310546875,15.339
0,1,-12.044226,-77.050832,2,644.5026245117188,484.475,21.63349723815918,14.984,33.678550720214844,22.156
1,1,-12.044226,-77.050832,3,737.7769165039062,484.475,22.97140121459961,14.984,37.27988815307617,22.156
2,1,-12.044226,-77.050832,4,760.7133178710938,484.475,22.80129051208496,14.984,33.02241134643555,22.156
3,1,-12.044226,-77.050832,5,669.5530395507812,484.475,21.47059440612793,14.984,29.85483741760254,22.156
4,1,-12.044226,-77.050832,6,742.1769409179688,484.475,21.023469924926758,14.984,29.304832458496094,22.156
5,1,-12.044226,-77.050832,7,771.957275390625,484.475,18.924257278442383,14.984,28.20020866394043,22.156
0,2,-12.044226,-77.050832,2,497.3519592285156,459.057,22.92851448059082,17.578,23.10353660583496,16.781
1,2,-12.044226,-77.050832,3,559.7525634765625,459.057,25.337135314941406,17.578,23.91473388671875,16.781
2,2,-12.044226,-77.050832,4,584.181396484375,459.057,23.814260482788086,17.578,21.158884048461914,16.781
3,2,-12.044226,-77.050832,5,496.9078063964844,459.057,21.787750244140625,17.578,19.377456665039062,16.781
4,2,-12.044226,-77.050832,6,575.6021118164062,459.057,20.76839828491211,17.578,19.162700653076172,16.781
5,2,-12.044226,-77.050832,7,575.2056274414062,459.057,19.018579483032227,17.578,18.76057243347168,16.781
0,3,-12.044226,-77.050832,2,454.768798828125,485.196,19.806005477905273,12.544,19.050037384033203,13.172
1,3,-12.044226,-77.050832,3,515.3936767578125,485.196,23.29985237121582,12.544,20.676776885986328,13.172
2,3,-12.044226,-77.050832,4,547.5794677734375,485.196,23.559906005859375,12.544,18.518953323364258,13.172
3,3,-12.044226,-77.050832,5,459.1610107421875,485.196,20.988849639892578,12.544,16.9813175201416,13.172
4,3,-12.044226,-77.050832,6,540.7349243164062,485.196,19.716466903686523,12.544,16.689746856689453,13.172
5,3,-12.044226,-77.050832,7,595.6095581054688,485.196,18.42988395690918,12.544,16.299041748046875,13.172
0,4,-12.044226,-77.050832,2,447.8183288574219,471.846,25.38600730895996,18.914,14.581527709960938,10.828
1,4,-12.044226,-77.050832,3,534.2230834960938,471.846,26.841747283935547,18.914,15.692410469055176,10.828
2,4,-12.044226,-77.050832,4,560.0451049804688,471.846,26.7370548248291,18.914,13.965703964233398,10.828
3,4,-12.044226,-77.050832,5,478.46014404296875,471.846,25.722213745117188,18.914,12.73692798614502,10.828
4,4,-12.044226,-77.050832,6,580.418212890625,471.846,25.269319534301758,18.914,13.183465957641602,10.828
5,4,-12.044226,-77.050832,7,631.807861328125,471.846,23.912179946899414,18.914,12.840804100036621,10.828
0,5,-12.044226,-77.050832,2,595.3004760742188,567.983,30.602012634277344,22.939,15.654534339904785,11.277
1,5,-12.044226,-77.050832,3,681.3591918945312,567.983,31.542722702026367,22.939,15.769028663635254,11.277
2,5,-12.044226,-77.050832,4,680.6076049804688,567.983,31.032512664794922,22.939,13.897659301757812,11.277
3,5,-12.044226,-77.050832,5,586.3181762695312,567.983,30.16258430480957,22.939,12.45568561553955,11.277
4,5,-12.044226,-77.050832,6,665.354736328125,567.983,29.784631729125977,22.939,12.062381744384766,11.277
5,5,-12.044226,-77.050832,7,693.0106811523438,567.983,28.29644012451172,22.939,11.631869316101074,11.277
0,6,-12.044226,-77.050832,2,772.525390625,616.006,35.27301025390625,30.721,23.941051483154297,18.474
1,6,-12.044226,-77.050832,3,783.898193359375,616.006,36.13505172729492,30.721,22.79564094543457,18.474
2,6,-12.044226,-77.050832,4,778.0340576171875,616.006,35.475250244140625,30.721,20.247577667236328,18.474
3,6,-12.044226,-77.050832,5,683.1688842773438,616.006,34.926185607910156,30.721,17.983196258544922,18.474
4,6,-12.044226,-77.050832,6,780.1763916015625,616.006,34.79848098754883,30.721,18.02116584777832,18.474
5,6,-12.044226,-77.050832,7,791.3378295898438,616.006,33.55646896362305,30.721,17.320951461791992,18.474
0,1,-12.0466667,-77.080277778,2,451.92608642578125,282.082,14.905890464782715,25.8,21.83405303955078,34.868
1,1,-12.0466667,-77.080277778,3,462.7764892578125,282.082,14.931928634643555,25.8,21.941375732421875,34.868
2,1,-12.0466667,-77.080277778,4,532.8046264648438,282.082,16.52033233642578,25.8,26.99246597290039,34.868
3,1,-12.0466667,-77.080277778,5,535.4716796875,282.082,17.612730026245117,25.8,26.636550903320312,34.868
4,1,-12.0466667,-77.080277778,6,600.2859497070312,282.082,18.951934814453125,25.8,29.611148834228516,34.868
5,1,-12.0466667,-77.080277778,7,633.037353515625,282.082,19.429004669189453,25.8,28.273815155029297,34.868
0,2,-12.0466667,-77.080277778,2,528.7552490234375,258.836,18.40365982055664,30.106,20.005535125732422,28.852
1,2,-12.0466667,-77.080277778,3,505.5208435058594,258.836,18.128419876098633,30.106,18.930614471435547,28.852
2,2,-12.0466667,-77.080277778,4,522.8151245117188,258.836,19.94046974182129,30.106,21.504680633544922,28.852
3,2,-12.0466667,-77.080277778,5,502.2530822753906,258.836,20.048582077026367,30.106,20.599891662597656,28.852
4,2,-12.0466667,-77.080277778,6,532.6385498046875,258.836,21.733020782470703,30.106,21.422842025756836,28.852
5,2,-12.0466667,-77.080277778,7,550.4727172851562,258.836,21.377687454223633,30.106,20.203996658325195,28.852
0,3,-12.0466667,-77.080277778,2,576.9838256835938,235.562,16.31804084777832,28.6,19.49307632446289,25.096
1,3,-12.0466667,-77.080277778,3,546.3857421875,235.562,15.059938430786133,28.6,17.385902404785156,25.096
2,3,-12.0466667,-77.080277778,4,556.1366577148438,235.562,16.49532699584961,28.6,19.32134437561035,25.096
3,3,-12.0466667,-77.080277778,5,509.736572265625,235.562,16.95848846435547,28.6,18.051599502563477,25.096
4,3,-12.0466667,-77.080277778,6,530.888671875,235.562,19.180171966552734,28.6,19.031450271606445,25.096
5,3,-12.0466667,-77.080277778,7,547.0679321289062,235.562,19.91738510131836,28.6,18.033403396606445,25.096
0,4,-12.0466667,-77.080277778,2,719.587158203125,250.332,27.800884246826172,31.657,19.32500648498535,22.133
1,4,-12.0466667,-77.080277778,3,637.0009765625,250.332,24.838380813598633,31.657,16.49247169494629,22.133
2,4,-12.0466667,-77.080277778,4,623.8986206054688,250.332,25.265323638916016,31.657,17.17666244506836,22.133
3,4,-12.0466667,-77.080277778,5,561.322998046875,250.332,25.057445526123047,31.657,15.728045463562012,22.133
4,4,-12.0466667,-77.080277778,6,585.6085815429688,250.332,25.840131759643555,31.657,16.09241485595703,22.133
5,4,-12.0466667,-77.080277778,7,593.0232543945312,250.332,25.92340850830078,31.657,15.048508644104004,22.133
0,5,-12.0466667,-77.080277778,2,962.2843627929688,297.646,34.45798110961914,35.709,23.05303955078125,27.026
1,5,-12.0466667,-77.080277778,3,830.84130859375,297.646,30.61804962158203,35.709,19.127418518066406,27.026
2,5,-12.0466667,-77.080277778,4,792.8172607421875,297.646,31.097578048706055,35.709,19.665359497070312,27.026
3,5,-12.0466667,-77.080277778,5,736.618896484375,297.646,30.611635208129883,35.709,17.738174438476562,27.026
4,5,-12.0466667,-77.080277778,6,756.09521484375,297.646,31.08041763305664,35.709,17.448110580444336,27.026
5,5,-12.0466667,-77.080277778,7,744.98779296875,297.646,30.854900360107422,35.709,16.13878631591797,27.026
0,6,-12.0466667,-77.080277778,2,911.924560546875,305.507,38.60954666137695,39.292,30.037111282348633,38.059
1,6,-12.0466667,-77.080277778,3,813.2781372070312,305.507,35.9798469543457,39.292,26.182470321655273,38.059
2,6,-12.0466667,-77.080277778,4,818.3552856445312,305.507,36.2901611328125,39.292,27.77273941040039,38.059
3,6,-12.0466667,-77.080277778,5,796.9759521484375,305.507,35.69709396362305,39.292,25.285844802856445,38.059
4,6,-12.0466667,-77.080277778,6,798.587158203125,305.507,36.057456970214844,39.292,24.488943099975586,38.059
5,6,-12.0466667,-77.080277778,7,793.1373291015625,305.507,35.69148635864258,39.292,22.790878295898438,38.059
0,1,-12.0450749,-77.0278449,2,1634.657958984375,950.625,16.560916900634766,6.33,24.566925048828125,21.573
1,1,-12.0450749,-77.0278449,3,1191.4368896484375,950.625,16.42328453063965,6.33,22.106412887573242,21.573
2,1,-12.0450749,-77.0278449,4,1100.9588623046875,950.625,17.890182495117188,6.33,21.642568588256836,21.573
3,1,-12.0450749,-77.0278449,5,1065.630615234375,950.625,19.441484451293945,6.33,26.210275650024414,21.573
4,1,-12.0450749,-77.0278449,6,1005.0780029296875,950.625,19.979442596435547,6.33,25.90520668029785,21.573
5,1,-12.0450749,-77.0278449,7,962.0735473632812,950.625,20.386566162109375,6.33,28.26243019104004,21.573
0,2,-12.0450749,-77.0278449,2,1463.2921142578125,572.827,14.511956214904785,8.5205,17.491477966308594,16.348
1,2,-12.0450749,-77.0278449,3,1024.826416015625,572.827,14.235319137573242,8.5205,15.745077133178711,16.348
2,2,-12.0450749,-77.0278449,4,932.9873046875,572.827,15.48796272277832,8.5205,15.03182315826416,16.348
3,2,-12.0450749,-77.0278449,5,883.3005981445312,572.827,18.42105484008789,8.5205,17.132776260375977,16.348
4,2,-12.0450749,-77.0278449,6,829.6015625,572.827,18.94791603088379,8.5205,16.907297134399414,16.348
5,2,-12.0450749,-77.0278449,7,791.6790161132812,572.827,19.25753402709961,8.5205,19.074771881103516,16.348
0,3,-12.0450749,-77.0278449,2,1382.9822998046875,924.831,11.859943389892578,10.711,14.651978492736816,13.955
1,3,-12.0450749,-77.0278449,3,957.17724609375,924.831,11.474982261657715,10.711,13.378385543823242,13.955
2,3,-12.0450749,-77.0278449,4,878.9168701171875,924.831,14.691168785095215,10.711,13.045296669006348,13.955
3,3,-12.0450749,-77.0278449,5,830.4622192382812,924.831,17.810211181640625,10.711,15.222151756286621,13.955
4,3,-12.0450749,-77.0278449,6,768.6753540039062,924.831,18.298545837402344,10.711,14.734590530395508,13.955
5,3,-12.0450749,-77.0278449,7,737.4149780273438,924.831,18.69565200805664,10.711,16.017499923706055,13.955
0,4,-12.0450749,-77.0278449,2,1611.64208984375,940.121,21.991962432861328,15.77,12.595394134521484,10.785
1,4,-12.0450749,-77.0278449,3,1125.164306640625,940.121,21.882312774658203,15.77,11.004345893859863,10.785
2,4,-12.0450749,-77.0278449,4,1003.2520751953125,940.121,23.0174617767334,15.77,10.4497709274292,10.785
3,4,-12.0450749,-77.0278449,5,944.0078125,940.121,24.36451530456543,15.77,11.942558288574219,10.785
4,4,-12.0450749,-77.0278449,6,884.2078247070312,940.121,25.915708541870117,15.77,11.605441093444824,10.785
5,4,-12.0450749,-77.0278449,7,831.3694458007812,940.121,25.81188201904297,15.77,12.471899032592773,10.785
0,5,-12.0450749,-77.0278449,2,1650.4136962890625,858.933,26.947463989257812,19.368,9.776488304138184,9.049
1,5,-12.0450749,-77.0278449,3,1170.025634765625,858.933,26.85931396484375,19.368,8.74704647064209,9.049
2,5,-12.0450749,-77.0278449,4,1047.110107421875,858.933,27.51997184753418,19.368,8.63128662109375,9.049
3,5,-12.0450749,-77.0278449,5,1008.3822631835938,858.933,28.70073127746582,19.368,10.104571342468262,9.049
4,5,-12.0450749,-77.0278449,6,963.8771362304688,858.933,29.573673248291016,19.368,10.26915454864502,9.049
5,5,-12.0450749,-77.0278449,7,911.8405151367188,858.933,29.54757308959961,19.368,11.228378295898438,9.049
0,6,-12.0450749,-77.0278449,2,1832.889404296875,858.301,32.362430572509766,26.105,16.842449188232422,13.12
1,6,-12.0450749,-77.0278449,3,1323.1937255859375,858.301,32.484947204589844,26.105,14.203770637512207,13.12
2,6,-12.0450749,-77.0278449,4,1182.509033203125,858.301,32.73770523071289,26.105,13.803836822509766,13.12
3,6,-12.0450749,-77.0278449,5,1107.338623046875,858.301,33.761924743652344,26.105,15.14401626586914,13.12
4,6,-12.0450749,-77.0278449,6,1070.406005859375,858.301,34.54716110229492,26.105,15.707221031188965,13.12
5,6,-12.0450749,-77.0278449,7,1052.58837890625,858.301,34.76001739501953,26.105,17.21749496459961,13.12
0,1,-12.047538,-77.035366,2,1014.7930297851562,829.517,22.217422485351562,22.291,35.5182991027832,20.251
1,1,-12.047538,-77.035366,3,778.1732788085938,829.517,20.194307327270508,22.291,29.40727424621582,20.251
2,1,-12.047538,-77.035366,4,821.287841796875,829.517,16.728097915649414,22.291,27.448631286621094,20.251
3,1,-12.047538,-77.035366,5,797.4966430664062,829.517,17.916372299194336,22.291,26.834857940673828,20.251
4,1,-12.047538,-77.035366,6,1025.2615966796875,829.517,17.31927490234375,22.291,26.125505447387695,20.251
5,1,-12.047538,-77.035366,7,956.8240356445312,829.517,17.985294342041016,22.291,25.995162963867188,20.251
0,2,-12.047538,-77.035366,2,826.7982177734375,657.462,22.912837982177734,19.246,21.812915802001953,12.892
1,2,-12.047538,-77.035366,3,600.4769287109375,657.462,19.83592987060547,19.246,18.62598419189453,12.892
2,2,-12.047538,-77.035366,4,593.564208984375,657.462,17.00696563720703,19.246,18.056467056274414,12.892
3,2,-12.047538,-77.035366,5,587.0768432617188,657.462,17.922042846679688,19.246,17.601137161254883,12.892
4,2,-12.047538,-77.035366,6,815.4945068359375,657.462,17.160324096679688,19.246,17.483274459838867,12.892
5,2,-12.047538,-77.035366,7,759.00390625,657.462,17.634647369384766,19.246,17.411529541015625,12.892
0,3,-12.047538,-77.035366,2,792.6085205078125,644.129,21.820810317993164,24.34,19.580902099609375,12.046
1,3,-12.047538,-77.035366,3,563.5751953125,644.129,18.115585327148438,24.34,16.664304733276367,12.046
2,3,-12.047538,-77.035366,4,653.892578125,644.129,16.26436996459961,24.34,15.986952781677246,12.046
3,3,-12.047538,-77.035366,5,615.0646362304688,644.129,17.159564971923828,24.34,15.24890422821045,12.046
4,3,-12.047538,-77.035366,6,815.45849609375,644.129,16.027070999145508,24.34,15.052742004394531,12.046
5,3,-12.047538,-77.035366,7,745.2802734375,644.129,16.424724578857422,24.34,14.755672454833984,12.046
0,4,-12.047538,-77.035366,2,898.6002807617188,637.505,26.378923416137695,26.423,16.66497230529785,8.786
1,4,-12.047538,-77.035366,3,649.7806396484375,637.505,24.806968688964844,26.423,13.717350959777832,8.786
2,4,-12.047538,-77.035366,4,722.3684692382812,637.505,22.54764175415039,26.423,12.984235763549805,8.786
3,4,-12.047538,-77.035366,5,694.939453125,637.505,24.77248764038086,26.423,12.37134075164795,8.786
4,4,-12.047538,-77.035366,6,934.6425170898438,637.505,24.140201568603516,26.423,11.938591003417969,8.786
5,4,-12.047538,-77.035366,7,845.5673828125,637.505,24.152456283569336,26.423,11.652256965637207,8.786
0,5,-12.047538,-77.035366,2,956.9888305664062,678.353,30.65943717956543,29.502,13.046934127807617,8.284
1,5,-12.047538,-77.035366,3,707.7203369140625,678.353,29.333974838256836,29.502,10.927315711975098,8.284
2,5,-12.047538,-77.035366,4,745.52490234375,678.353,26.84238624572754,29.502,10.457718849182129,8.284
3,5,-12.047538,-77.035366,5,744.694091796875,678.353,28.261619567871094,29.502,10.584585189819336,8.284
4,5,-12.047538,-77.035366,6,993.9721069335938,678.353,27.884660720825195,29.502,10.396642684936523,8.284
5,5,-12.047538,-77.035366,7,925.10498046875,678.353,27.996553421020508,29.502,10.344271659851074,8.284
0,6,-12.047538,-77.035366,2,1035.9161376953125,760.443,36.009456634521484,33.496,19.357975006103516,12.604
1,6,-12.047538,-77.035366,3,791.8544921875,760.443,34.91632080078125,33.496,15.880692481994629,12.604
2,6,-12.047538,-77.035366,4,808.4667358398438,760.443,32.71340560913086,33.496,15.1904935836792,12.604
3,6,-12.047538,-77.035366,5,823.9263916015625,760.443,33.865413665771484,33.496,15.857047080993652,12.604
4,6,-12.047538,-77.035366,6,1086.7137451171875,760.443,33.315311431884766,33.496,15.793201446533203,12.604
5,6,-12.047538,-77.035366,7,1033.1134033203125,760.443,33.31669616699219,33.496,15.728323936462402,12.604
0,1,-12.054722,-77.029722,2,1496.791748046875,702.341,18.31231689453125,22.669,21.415054321289062,24.38
